account_id,industry,company_size,region,contract_type,subscription_plan,account_age_months,monthly_recurring_revenue,seat_count,seats_used_percent,weekly_active_users,feature_adoption_rate,avg_session_minutes,admin_logins_last_30d,onboarding_completion_percent,days_since_last_login,support_tickets_last_90d,nps_score,nps_band,account_health_score,health_band,churn_flag,renewal_probability,expansion_revenue,usage_band,revenue_band,login_recency_band
1450,retail,small,North America,monthly,enterprise,4,1366.66,116,80.88,27,16.28,20.18,3,40.58,7,3,,,0.458,medium_health,0,53.57,576.41,low_usage,high_mrr,active_0_7d
1451,healthcare,small,UK,monthly,growth,2,238.46,12,73.59,2,32.34,13.62,5,50.53,15,1,35.0,passive,0.529,medium_health,0,80.16,121.71,low_usage,mid_mrr,warming_8_30d
1452,retail,small,Europe,annual,growth,52,268.27,15,84.19,6,48.17,22.67,6,79.51,12,2,36.0,passive,0.725,high_health,1,69.8,7.14,medium_usage,mid_mrr,warming_8_30d
1453,other,small,APAC,monthly,starter,24,41.08,5,38.04,0,15.05,12.5,1,56.07,1,2,-15.0,detractor,0.314,low_health,1,56.36,2.05,low_usage,low_mrr,active_0_7d
1454,healthcare,mid_market,North America,monthly,growth,7,430.69,10,60.97,2,34.99,18.65,2,28.33,17,3,29.0,passive,0.431,medium_health,0,61.02,116.89,low_usage,mid_mrr,warming_8_30d
1455,software,mid_market,Europe,monthly,growth,6,540.68,11,37.97,2,43.44,19.96,4,59.19,19,2,37.0,passive,0.482,medium_health,0,53.34,154.03,medium_usage,high_mrr,warming_8_30d
1456,other,enterprise,APAC,monthly,growth,41,857.37,18,57.06,6,25.26,18.6,4,44.34,26,1,,,0.413,medium_health,0,53.62,339.07,low_usage,high_mrr,warming_8_30d
1457,retail,mid_market,North America,monthly,business,4,1376.36,42,57.62,13,40.4,14.29,4,69.1,6,1,46.0,passive,0.579,medium_health,0,78.77,524.08,medium_usage,high_mrr,active_0_7d
1458,retail,small,North America,monthly,business,14,394.02,31,49.48,8,26.61,24.43,2,58.49,19,4,32.0,passive,0.435,medium_health,1,62.09,1.03,low_usage,mid_mrr,warming_8_30d
1459,software,small,Other,monthly,starter,23,56.25,5,68.11,1,42.58,17.11,3,51.2,26,1,21.0,passive,0.543,medium_health,0,63.37,2.13,medium_usage,low_mrr,warming_8_30d
1460,retail,small,North America,monthly,growth,9,119.87,15,28.5,2,34.51,23.89,2,37.21,30,2,3.0,passive,0.313,low_health,0,59.92,45.63,low_usage,mid_mrr,warming_8_30d
1461,finance,small,Other,monthly,growth,1,140.66,16,60.95,3,39.6,11.03,1,26.83,4,3,15.0,passive,0.449,medium_health,1,67.29,0.98,medium_usage,mid_mrr,active_0_7d
1462,retail,small,North America,annual,starter,5,57.03,8,49.58,1,5.7,10.69,2,33.35,58,3,21.0,passive,0.227,low_health,1,56.53,2.4,low_usage,low_mrr,inactive_31_90d
1463,software,enterprise,North America,annual,business,42,1563.34,23,68.54,12,33.7,12.4,5,59.32,17,2,56.0,promoter,0.555,medium_health,1,82.95,11.8,low_usage,enterprise_mrr,warming_8_30d
1464,retail,small,UK,monthly,starter,13,45.31,5,97.6,2,32.1,22.14,8,65.46,18,1,27.0,passive,0.644,medium_health,1,81.67,0.49,low_usage,low_mrr,warming_8_30d
1465,other,small,Europe,annual,growth,30,194.46,11,90.52,3,26.8,22.04,3,62.34,24,2,19.0,passive,0.575,medium_health,0,74.07,38.82,low_usage,mid_mrr,warming_8_30d
1466,software,small,Europe,monthly,growth,15,305.62,14,77.65,3,30.34,18.97,2,45.08,26,2,,,0.483,medium_health,1,73.31,6.03,low_usage,mid_mrr,warming_8_30d
1467,other,mid_market,Europe,annual,starter,52,52.61,5,37.33,1,41.09,13.44,0,87.36,4,0,52.0,promoter,0.568,medium_health,0,87.33,12.03,medium_usage,low_mrr,active_0_7d
1468,finance,mid_market,APAC,monthly,growth,43,654.72,18,37.49,5,20.03,21.48,3,41.25,15,5,11.0,passive,0.302,low_health,0,70.3,172.25,low_usage,high_mrr,warming_8_30d
1469,other,mid_market,North America,monthly,business,12,801.48,29,75.03,11,54.5,24.38,6,72.74,22,2,,,0.718,high_health,0,73.88,314.04,medium_usage,high_mrr,warming_8_30d
1470,education,small,Europe,monthly,growth,7,208.86,16,68.98,3,19.28,13.42,3,76.96,18,1,59.0,promoter,0.537,medium_health,0,76.98,42.33,low_usage,mid_mrr,warming_8_30d
1471,healthcare,mid_market,North America,monthly,starter,17,161.85,4,89.71,1,50.05,29.57,3,59.14,13,2,,,0.702,high_health,0,87.59,39.19,medium_usage,mid_mrr,warming_8_30d
1472,retail,small,Europe,annual,starter,20,84.72,5,56.9,1,45.64,17.93,5,53.49,5,5,12.0,passive,0.536,medium_health,0,76.56,22.64,medium_usage,low_mrr,active_0_7d
1473,other,mid_market,North America,monthly,business,12,680.37,38,90.5,9,33.72,19.19,3,57.51,23,2,18.0,passive,0.595,medium_health,0,85.84,66.29,low_usage,high_mrr,warming_8_30d
1474,finance,small,North America,monthly,starter,31,45.28,5,51.74,1,32.6,20.77,5,48.57,1,2,,,0.443,medium_health,0,64.45,14.98,low_usage,low_mrr,active_0_7d
1475,finance,small,Europe,monthly,starter,4,48.09,7,62.43,2,38.11,11.98,5,40.52,19,0,44.0,passive,0.494,medium_health,0,63.95,16.9,medium_usage,low_mrr,warming_8_30d
1476,retail,small,North America,monthly,growth,7,131.48,16,78.97,8,34.88,21.19,6,83.77,19,1,40.0,passive,0.652,medium_health,1,63.92,3.64,low_usage,mid_mrr,warming_8_30d
1477,education,mid_market,North America,monthly,starter,21,171.03,4,92.17,1,28.04,11.06,4,56.38,46,0,57.0,promoter,0.58,medium_health,0,73.71,83.02,low_usage,mid_mrr,inactive_31_90d
1478,education,small,UK,monthly,growth,5,145.05,25,65.04,6,20.78,9.24,1,47.2,22,1,30.0,passive,0.425,medium_health,1,77.75,0.65,low_usage,mid_mrr,warming_8_30d
1479,education,mid_market,Europe,monthly,growth,10,186.03,20,85.63,6,41.47,22.43,1,55.65,11,1,54.0,promoter,0.645,medium_health,0,62.96,61.65,medium_usage,mid_mrr,warming_8_30d
1480,finance,small,APAC,annual,starter,60,39.26,6,46.41,2,32.53,2.78,3,58.52,3,3,28.0,passive,0.462,medium_health,0,80.87,12.11,low_usage,low_mrr,active_0_7d
1481,education,small,UK,monthly,starter,18,28.2,7,85.34,4,46.9,11.46,3,70.61,7,1,68.0,promoter,0.724,high_health,0,83.32,0.89,medium_usage,low_mrr,active_0_7d
1482,software,small,North America,monthly,starter,54,45.24,4,45.21,1,36.43,20.42,1,59.45,2,1,16.0,passive,0.472,medium_health,0,64.14,13.84,medium_usage,low_mrr,active_0_7d
1483,healthcare,small,Europe,annual,starter,23,62.0,4,45.99,1,7.13,5.78,4,39.87,10,2,27.0,passive,0.28,low_health,0,65.92,9.21,low_usage,low_mrr,warming_8_30d
1484,software,small,North America,annual,growth,23,118.5,15,60.01,2,0.47,11.4,6,33.19,3,6,13.0,passive,0.274,low_health,1,70.51,3.36,low_usage,mid_mrr,active_0_7d
1485,finance,small,UK,monthly,starter,16,42.55,4,61.87,1,20.58,17.6,3,49.28,3,0,,,0.453,medium_health,0,51.15,3.0,low_usage,low_mrr,active_0_7d
1486,finance,mid_market,Other,monthly,enterprise,3,2397.94,121,85.82,50,58.88,23.49,4,70.56,3,3,29.0,passive,0.76,high_health,0,77.41,1048.54,medium_usage,enterprise_mrr,active_0_7d
1487,finance,small,Europe,annual,starter,13,51.47,6,36.72,1,19.98,20.19,3,57.69,19,3,38.0,passive,0.36,medium_health,0,64.05,10.89,low_usage,low_mrr,warming_8_30d
1488,retail,enterprise,UK,monthly,business,5,2389.95,41,79.65,22,42.61,25.24,6,59.38,5,4,54.0,promoter,0.645,medium_health,0,82.3,1161.49,medium_usage,enterprise_mrr,active_0_7d
1489,finance,mid_market,North America,monthly,growth,84,434.82,15,89.26,10,78.3,18.29,4,72.41,12,0,42.0,passive,0.873,high_health,0,86.01,198.87,high_usage,mid_mrr,warming_8_30d
1490,finance,mid_market,Europe,monthly,business,6,1933.04,33,95.43,8,54.71,21.82,2,51.24,23,2,41.0,passive,0.713,high_health,0,71.57,601.97,medium_usage,enterprise_mrr,warming_8_30d
1491,software,small,APAC,annual,starter,5,51.16,7,59.33,1,32.84,12.88,3,50.59,53,0,4.0,passive,0.432,medium_health,1,73.44,2.63,low_usage,low_mrr,inactive_31_90d
1492,finance,small,North America,annual,starter,18,63.39,5,91.98,1,41.43,2.35,6,29.79,1,5,36.0,passive,0.591,medium_health,0,53.54,7.08,medium_usage,low_mrr,active_0_7d
1493,software,small,North America,annual,business,13,228.91,37,71.26,9,52.45,29.15,4,69.81,0,3,31.0,passive,0.68,high_health,0,87.78,62.57,medium_usage,mid_mrr,active_0_7d
1494,software,small,Europe,monthly,starter,0,42.91,8,97.91,2,26.16,14.53,3,46.04,9,3,45.0,passive,0.582,medium_health,1,71.96,2.46,low_usage,low_mrr,warming_8_30d
1495,retail,mid_market,UK,monthly,starter,2,98.07,4,56.94,1,35.97,16.43,1,25.35,3,1,44.0,passive,0.435,medium_health,1,59.64,3.96,medium_usage,low_mrr,active_0_7d
1496,retail,small,North America,monthly,starter,30,34.32,4,28.4,0,7.25,9.15,1,44.34,5,1,7.0,passive,0.222,low_health,1,71.29,0.15,low_usage,low_mrr,active_0_7d
1497,retail,small,APAC,annual,growth,12,123.51,15,47.49,3,47.28,19.61,2,48.38,56,2,54.0,promoter,0.487,medium_health,0,71.85,33.91,medium_usage,mid_mrr,inactive_31_90d
1498,healthcare,mid_market,North America,annual,growth,3,315.7,26,20.06,4,37.75,13.37,2,27.25,107,0,26.0,passive,0.229,low_health,0,63.65,80.7,medium_usage,mid_mrr,dormant_90d_plus
1499,finance,small,North America,monthly,growth,11,124.88,17,50.07,7,47.92,14.63,1,54.01,61,0,23.0,passive,0.489,medium_health,0,76.54,14.84,medium_usage,mid_mrr,inactive_31_90d
1500,other,mid_market,UK,annual,business,5,2182.14,30,56.97,4,22.13,31.23,3,63.73,40,2,12.0,passive,0.423,medium_health,0,84.23,231.59,low_usage,enterprise_mrr,inactive_31_90d
1501,healthcare,small,North America,monthly,growth,5,178.26,17,76.02,5,43.92,1.27,0,47.35,60,3,39.0,passive,0.553,medium_health,0,59.83,37.73,medium_usage,mid_mrr,inactive_31_90d
1502,healthcare,mid_market,Europe,monthly,growth,57,660.34,18,44.46,7,38.31,15.69,4,59.4,3,1,68.0,promoter,0.514,medium_health,0,74.36,231.25,medium_usage,high_mrr,active_0_7d
1503,software,small,North America,annual,business,8,672.76,43,24.1,7,24.19,18.29,1,74.46,0,1,27.0,passive,0.391,medium_health,1,85.27,72.55,low_usage,high_mrr,active_0_7d
1504,finance,small,North America,monthly,starter,1,39.18,7,64.13,1,39.67,10.35,6,62.56,6,0,,,0.579,medium_health,0,79.99,2.87,medium_usage,low_mrr,active_0_7d
1505,finance,small,North America,monthly,growth,63,150.97,18,68.37,5,18.78,15.01,7,76.46,12,2,50.0,passive,0.53,medium_health,0,73.85,64.69,low_usage,mid_mrr,warming_8_30d
1506,finance,enterprise,APAC,monthly,business,29,1713.36,40,67.19,12,50.28,20.56,3,63.97,9,1,52.0,promoter,0.647,medium_health,0,72.02,1001.38,medium_usage,enterprise_mrr,warming_8_30d
1507,healthcare,small,Europe,annual,growth,5,140.8,16,48.1,3,12.37,1.0,4,35.74,79,7,-1.0,detractor,0.229,low_health,0,63.71,30.4,low_usage,mid_mrr,inactive_31_90d
1508,healthcare,small,UK,annual,starter,9,34.82,8,63.94,2,35.9,25.14,2,50.14,4,0,,,0.536,medium_health,0,74.8,5.62,medium_usage,low_mrr,active_0_7d
1509,retail,mid_market,North America,annual,starter,36,92.36,8,66.04,2,18.47,19.46,6,60.69,3,2,46.0,passive,0.481,medium_health,1,76.98,1.61,low_usage,low_mrr,active_0_7d
1510,education,enterprise,Europe,annual,enterprise,8,6804.55,131,80.06,44,34.56,19.95,9,52.01,25,0,39.0,passive,0.561,medium_health,0,76.63,2950.19,low_usage,enterprise_mrr,warming_8_30d
1511,education,mid_market,Europe,monthly,growth,15,368.34,16,60.94,5,47.57,19.51,6,54.47,8,4,15.0,passive,0.561,medium_health,0,68.63,36.71,medium_usage,mid_mrr,warming_8_30d
1512,retail,enterprise,Other,monthly,business,14,2180.02,27,34.53,2,26.14,10.16,2,47.84,11,1,-2.0,detractor,0.334,medium_health,0,59.01,330.07,low_usage,enterprise_mrr,warming_8_30d
1513,other,small,UK,annual,growth,9,145.92,11,58.1,1,12.08,12.92,2,33.4,20,1,23.0,passive,0.318,low_health,0,78.59,31.01,low_usage,mid_mrr,warming_8_30d
1514,,small,UK,monthly,growth,18,201.38,8,66.46,2,25.28,19.0,7,51.59,29,0,55.0,promoter,0.476,medium_health,1,64.19,5.84,low_usage,mid_mrr,warming_8_30d
1515,software,mid_market,North America,annual,growth,12,299.6,16,43.77,3,35.92,12.16,3,51.06,157,3,3.0,passive,0.313,low_health,0,75.47,100.22,medium_usage,mid_mrr,dormant_90d_plus
1516,software,mid_market,Europe,annual,growth,0,533.49,21,98.96,5,56.5,15.46,6,36.55,66,1,32.0,passive,0.654,medium_health,0,72.44,125.47,medium_usage,high_mrr,inactive_31_90d
1517,retail,small,Europe,annual,business,30,208.99,38,55.91,12,32.42,22.4,2,50.47,26,2,,,0.455,medium_health,0,91.11,39.3,low_usage,mid_mrr,warming_8_30d
1518,other,small,APAC,monthly,growth,2,187.51,18,58.35,4,0.24,8.73,4,54.6,3,2,9.0,passive,0.323,low_health,0,78.44,28.18,low_usage,mid_mrr,active_0_7d
1519,software,mid_market,North America,monthly,growth,11,388.9,21,73.97,6,59.17,22.76,5,79.64,2,1,41.0,passive,0.755,high_health,0,75.11,175.51,medium_usage,mid_mrr,active_0_7d
1520,other,small,North America,annual,growth,16,117.67,18,63.2,2,22.71,29.82,2,37.16,22,2,,,0.41,medium_health,0,60.1,33.76,low_usage,mid_mrr,warming_8_30d
1521,software,small,Europe,annual,starter,22,43.27,5,37.24,1,14.0,27.88,2,43.77,14,2,27.0,passive,0.291,low_health,1,60.54,0.0,low_usage,low_mrr,warming_8_30d
1522,other,small,North America,annual,starter,10,57.66,1,52.16,0,26.82,17.85,5,45.11,29,3,9.0,passive,0.384,medium_health,1,86.4,5.04,low_usage,low_mrr,warming_8_30d
1523,finance,small,North America,monthly,starter,24,67.52,5,64.76,1,44.74,7.52,0,74.39,3,0,48.0,passive,0.643,medium_health,0,76.03,3.06,medium_usage,low_mrr,active_0_7d
1524,software,mid_market,APAC,monthly,growth,3,177.7,12,72.13,3,38.65,25.42,2,57.53,44,3,9.0,passive,0.534,medium_health,0,87.94,50.1,medium_usage,mid_mrr,inactive_31_90d
1525,healthcare,small,Europe,annual,growth,19,185.64,15,22.4,4,35.96,15.04,2,48.37,0,2,34.0,passive,0.374,medium_health,1,83.99,5.81,medium_usage,mid_mrr,active_0_7d
1526,software,mid_market,APAC,annual,starter,32,91.84,3,58.97,1,38.66,27.0,6,57.61,3,0,27.0,passive,0.532,medium_health,0,91.96,41.38,medium_usage,low_mrr,active_0_7d
1527,finance,mid_market,APAC,monthly,growth,40,486.02,18,75.22,6,44.97,14.45,3,52.08,10,4,33.0,passive,0.602,medium_health,0,69.11,196.51,medium_usage,mid_mrr,warming_8_30d
1528,finance,small,North America,monthly,business,16,209.6,48,68.62,13,50.76,13.51,7,46.1,52,1,60.0,promoter,0.577,medium_health,0,73.07,91.84,medium_usage,mid_mrr,inactive_31_90d
1529,education,mid_market,Europe,annual,starter,7,253.69,7,77.12,2,26.24,21.43,3,63.11,29,2,14.0,passive,0.521,medium_health,0,84.13,91.65,low_usage,mid_mrr,warming_8_30d
1530,healthcare,small,North America,monthly,growth,3,109.27,18,81.98,5,42.64,13.62,3,70.22,18,3,14.0,passive,0.645,medium_health,1,85.58,0.69,medium_usage,mid_mrr,warming_8_30d
1531,finance,small,APAC,annual,starter,8,80.83,6,93.21,1,19.5,25.94,1,44.76,28,1,20.0,passive,0.498,medium_health,0,66.32,8.94,low_usage,low_mrr,warming_8_30d
1532,retail,small,Europe,monthly,growth,14,145.44,14,69.04,4,29.98,20.5,3,83.88,6,1,28.0,passive,0.596,medium_health,0,73.34,33.77,low_usage,mid_mrr,active_0_7d
1533,retail,small,Europe,monthly,starter,4,36.79,3,78.67,1,20.5,28.54,2,52.98,18,1,25.0,passive,0.487,medium_health,0,77.24,11.76,low_usage,low_mrr,warming_8_30d
1534,software,small,North America,annual,starter,55,53.76,9,65.28,1,32.62,9.59,4,49.75,32,0,38.0,passive,0.488,medium_health,1,86.31,1.89,low_usage,low_mrr,inactive_31_90d
1535,finance,mid_market,Europe,monthly,growth,41,469.94,13,63.61,3,44.91,13.5,5,54.49,16,3,41.0,passive,0.57,medium_health,0,58.88,143.14,medium_usage,mid_mrr,warming_8_30d
1536,software,mid_market,North America,monthly,business,1,509.78,41,81.54,15,33.13,34.5,2,45.25,29,2,42.0,passive,0.54,medium_health,0,83.88,164.81,low_usage,high_mrr,warming_8_30d
1537,software,mid_market,North America,monthly,business,15,1122.12,33,77.05,13,56.67,9.4,5,57.85,20,2,49.0,passive,0.685,high_health,1,73.72,17.26,medium_usage,high_mrr,warming_8_30d
1538,retail,small,UK,annual,growth,28,148.37,15,37.72,3,25.04,23.76,2,56.14,8,1,27.0,passive,0.385,medium_health,0,63.48,48.04,low_usage,mid_mrr,warming_8_30d
1539,software,small,APAC,monthly,starter,5,59.97,3,85.91,1,6.99,18.71,4,42.49,18,3,49.0,passive,0.434,medium_health,0,52.35,3.84,low_usage,low_mrr,warming_8_30d
1540,healthcare,small,North America,monthly,starter,13,49.19,4,61.78,1,29.57,12.82,4,65.0,12,1,29.0,passive,0.513,medium_health,0,41.38,3.91,low_usage,low_mrr,warming_8_30d
1541,retail,small,Europe,annual,growth,9,121.97,20,37.45,3,12.48,22.12,2,63.1,38,3,-1.0,detractor,0.3,low_health,0,63.64,32.34,low_usage,mid_mrr,inactive_31_90d
1542,software,small,APAC,monthly,growth,4,100.92,15,84.44,3,48.98,27.13,7,66.59,3,1,28.0,passive,0.696,high_health,1,72.22,0.22,medium_usage,mid_mrr,active_0_7d
1543,healthcare,mid_market,North America,monthly,business,17,1110.81,28,47.91,10,61.53,19.41,7,67.44,40,2,31.0,passive,0.606,medium_health,0,83.36,244.83,medium_usage,high_mrr,inactive_31_90d
1544,software,enterprise,APAC,monthly,enterprise,84,7578.42,133,55.84,65,65.4,23.9,4,63.7,7,1,28.0,passive,0.665,high_health,0,84.05,1359.46,medium_usage,enterprise_mrr,active_0_7d
1545,other,small,North America,annual,starter,8,61.78,5,55.89,0,13.82,14.31,2,40.0,12,2,,,0.348,medium_health,0,73.79,13.72,low_usage,low_mrr,warming_8_30d
1546,healthcare,small,Europe,monthly,starter,14,56.91,5,54.47,1,24.32,13.6,1,57.0,29,3,16.0,passive,0.418,medium_health,0,74.86,15.47,low_usage,low_mrr,warming_8_30d
1547,education,mid_market,Europe,monthly,growth,7,456.25,22,32.35,1,3.94,3.11,2,40.04,8,1,,,0.192,low_health,1,65.17,15.39,low_usage,mid_mrr,warming_8_30d
1548,healthcare,small,Europe,monthly,business,38,652.68,36,77.57,8,45.47,13.56,3,43.69,2,3,0.0,detractor,0.573,medium_health,0,76.89,101.32,medium_usage,high_mrr,active_0_7d
1549,software,mid_market,APAC,annual,business,36,455.17,34,34.68,7,14.74,23.13,2,50.31,31,3,-5.0,detractor,0.269,low_health,1,79.01,10.85,low_usage,mid_mrr,inactive_31_90d
1550,retail,mid_market,North America,annual,growth,4,144.43,17,58.54,2,42.55,11.56,2,43.76,17,1,26.0,passive,0.5,medium_health,0,65.03,67.55,medium_usage,mid_mrr,warming_8_30d
1551,other,enterprise,North America,monthly,business,41,3639.79,32,83.64,14,35.72,14.71,4,47.2,37,3,48.0,passive,0.563,medium_health,0,68.35,1223.86,medium_usage,enterprise_mrr,inactive_31_90d
1552,retail,small,Europe,monthly,starter,3,30.64,6,69.34,1,9.2,14.56,4,57.56,34,1,,,0.408,medium_health,0,76.57,2.09,low_usage,low_mrr,inactive_31_90d
1553,education,mid_market,APAC,annual,business,2,600.18,36,69.38,6,23.67,14.49,0,49.39,2,1,32.0,passive,0.477,medium_health,0,55.11,174.31,low_usage,high_mrr,active_0_7d
1554,other,small,North America,monthly,business,19,360.79,31,80.09,6,43.31,9.76,2,53.69,23,0,23.0,passive,0.599,medium_health,0,75.55,175.54,medium_usage,mid_mrr,warming_8_30d
1555,software,mid_market,APAC,annual,starter,9,60.42,7,73.84,2,59.77,16.4,6,33.65,6,4,1.0,passive,0.599,medium_health,0,73.74,11.98,medium_usage,low_mrr,active_0_7d
1556,software,small,Europe,monthly,growth,14,130.37,21,83.67,4,26.67,18.71,3,69.49,14,3,,,0.606,medium_health,0,64.78,71.84,low_usage,mid_mrr,warming_8_30d
1557,retail,small,North America,annual,starter,19,35.16,5,59.02,0,14.85,9.06,1,29.04,9,3,,,0.326,low_health,0,69.7,3.17,low_usage,low_mrr,warming_8_30d
1558,finance,small,UK,monthly,starter,1,45.16,8,60.48,1,21.4,16.94,2,73.34,30,1,,,0.477,medium_health,0,68.8,11.4,low_usage,low_mrr,warming_8_30d
1559,education,small,North America,annual,growth,6,164.33,9,60.8,2,17.73,33.76,3,62.12,35,3,39.0,passive,0.433,medium_health,0,69.34,31.69,low_usage,mid_mrr,inactive_31_90d
1560,,mid_market,Europe,monthly,business,11,778.35,32,75.13,13,28.05,17.35,0,75.35,9,0,47.0,passive,0.595,medium_health,0,74.27,445.18,low_usage,high_mrr,warming_8_30d
1561,finance,mid_market,North America,monthly,business,6,764.71,32,86.88,19,31.9,15.09,7,71.56,3,5,40.0,passive,0.644,medium_health,1,69.3,45.22,low_usage,high_mrr,active_0_7d
1562,software,mid_market,North America,monthly,starter,1,117.99,7,66.65,0,36.41,20.59,1,46.62,8,3,28.0,passive,0.514,medium_health,1,69.32,0.93,medium_usage,mid_mrr,warming_8_30d
1563,education,small,Europe,monthly,starter,2,70.62,4,70.74,1,21.79,23.07,0,48.8,4,1,45.0,passive,0.479,medium_health,1,73.58,3.71,low_usage,low_mrr,active_0_7d
1564,software,mid_market,Europe,monthly,growth,29,574.47,18,64.86,6,9.48,24.87,1,57.97,18,0,47.0,passive,0.415,medium_health,0,68.71,212.67,low_usage,high_mrr,warming_8_30d
1565,education,small,Europe,monthly,starter,44,45.39,6,47.86,1,26.23,19.25,1,40.89,5,6,0.0,detractor,0.367,medium_health,0,72.17,2.99,low_usage,low_mrr,active_0_7d
1566,finance,enterprise,Europe,annual,business,3,3778.61,39,56.21,7,41.31,12.69,2,19.61,38,3,32.0,passive,0.407,medium_health,0,77.53,735.94,medium_usage,enterprise_mrr,inactive_31_90d
1567,retail,enterprise,North America,monthly,business,5,2711.47,37,58.37,7,33.81,17.35,2,48.54,4,0,40.0,passive,0.49,medium_health,1,64.18,4.1,low_usage,enterprise_mrr,active_0_7d
1568,,small,Europe,annual,starter,19,31.84,3,49.17,0,20.42,9.99,0,19.37,1,2,27.0,passive,0.306,low_health,1,72.86,1.05,low_usage,low_mrr,active_0_7d
1569,retail,mid_market,Other,monthly,growth,56,210.81,14,58.72,2,49.41,25.01,4,53.92,33,3,15.0,passive,0.542,medium_health,0,61.87,15.84,medium_usage,mid_mrr,inactive_31_90d
1570,finance,small,APAC,monthly,growth,6,121.74,18,47.26,3,41.06,22.63,3,45.05,8,1,18.0,passive,0.459,medium_health,0,68.55,64.38,medium_usage,mid_mrr,warming_8_30d
1571,healthcare,small,North America,monthly,growth,35,247.04,13,64.06,4,1.03,8.01,2,52.19,4,2,11.0,passive,0.341,medium_health,0,70.54,58.31,low_usage,mid_mrr,active_0_7d
1572,software,small,North America,annual,growth,13,125.02,9,62.39,4,40.72,17.99,5,58.26,13,1,46.0,passive,0.561,medium_health,0,91.66,35.23,medium_usage,mid_mrr,warming_8_30d
1573,retail,small,APAC,annual,starter,56,25.27,8,42.19,1,31.33,21.1,4,61.19,34,1,23.0,passive,0.422,medium_health,0,82.56,9.38,low_usage,low_mrr,inactive_31_90d
1574,other,mid_market,Europe,monthly,growth,3,302.56,15,62.3,3,34.34,10.06,5,42.98,8,3,,,0.481,medium_health,0,62.03,82.72,low_usage,mid_mrr,warming_8_30d
1575,software,small,Europe,annual,starter,65,24.5,5,98.58,3,54.1,21.03,2,79.58,2,1,48.0,passive,0.82,high_health,0,83.89,4.37,medium_usage,low_mrr,active_0_7d
1576,software,small,UK,monthly,starter,10,33.87,2,72.97,0,47.33,3.05,3,42.59,22,1,,,0.567,medium_health,0,68.43,1.82,medium_usage,low_mrr,warming_8_30d
1577,software,mid_market,North America,monthly,growth,55,266.92,18,48.43,2,16.0,14.01,5,34.78,12,1,33.0,passive,0.32,low_health,1,49.51,9.24,low_usage,mid_mrr,warming_8_30d
1578,retail,mid_market,Europe,monthly,starter,11,113.6,4,68.39,0,0.0,13.63,1,34.45,17,0,22.0,passive,0.299,low_health,0,65.74,28.44,low_usage,mid_mrr,warming_8_30d
1579,retail,enterprise,Other,monthly,enterprise,14,8586.72,115,76.33,58,22.51,14.79,4,49.56,10,2,38.0,passive,0.494,medium_health,1,65.3,207.85,low_usage,enterprise_mrr,warming_8_30d
1580,healthcare,mid_market,Europe,monthly,enterprise,29,3366.0,118,58.3,59,60.2,22.03,5,49.29,4,1,,,0.627,medium_health,0,63.15,734.93,medium_usage,enterprise_mrr,active_0_7d
1581,software,mid_market,North America,annual,starter,23,71.34,4,67.99,1,38.93,22.54,2,53.07,32,3,,,0.533,medium_health,0,83.28,8.71,medium_usage,low_mrr,inactive_31_90d
1582,finance,small,North America,monthly,growth,17,130.82,12,97.19,2,8.78,10.64,0,54.42,18,1,12.0,passive,0.489,medium_health,1,65.54,13.26,low_usage,mid_mrr,warming_8_30d
1583,healthcare,small,North America,annual,starter,10,50.33,12,63.39,1,12.55,17.99,0,62.67,15,1,54.0,promoter,0.445,medium_health,0,70.85,3.33,low_usage,low_mrr,warming_8_30d
1584,healthcare,small,UK,monthly,growth,28,135.93,22,89.06,7,39.31,26.51,5,66.62,6,2,40.0,passive,0.671,high_health,0,62.82,23.88,medium_usage,mid_mrr,active_0_7d
1585,other,small,North America,monthly,growth,53,135.6,18,67.82,4,32.05,17.18,5,53.75,8,1,18.0,passive,0.51,medium_health,1,62.37,6.29,low_usage,mid_mrr,warming_8_30d
1586,software,mid_market,North America,annual,enterprise,0,1444.58,124,58.97,31,15.6,8.18,4,49.72,12,2,16.0,passive,0.384,medium_health,0,76.45,356.95,low_usage,high_mrr,warming_8_30d
1587,retail,small,Other,annual,starter,16,32.73,8,69.7,1,31.59,11.86,4,16.9,10,2,7.0,passive,0.403,medium_health,0,75.25,12.48,low_usage,low_mrr,warming_8_30d
1588,,mid_market,North America,annual,growth,36,284.68,14,57.62,4,39.41,18.79,2,43.0,16,2,14.0,passive,0.472,medium_health,1,68.46,3.28,medium_usage,mid_mrr,warming_8_30d
1589,finance,small,North America,monthly,starter,19,20.0,8,81.06,1,21.15,7.68,0,42.96,38,1,39.0,passive,0.465,medium_health,0,69.11,2.76,low_usage,low_mrr,inactive_31_90d
1590,retail,small,North America,annual,starter,29,61.32,8,74.18,2,27.07,15.53,3,57.58,28,3,,,0.52,medium_health,1,79.33,4.69,low_usage,low_mrr,warming_8_30d
1591,retail,small,North America,annual,business,41,246.79,37,76.75,19,50.17,15.86,6,74.47,4,3,37.0,passive,0.702,high_health,0,90.95,36.37,medium_usage,mid_mrr,active_0_7d
1592,other,mid_market,Europe,monthly,business,25,1116.34,46,52.71,8,29.38,16.58,3,43.25,8,2,36.0,passive,0.428,medium_health,0,64.4,254.34,low_usage,high_mrr,warming_8_30d
